Ion,Wavelength,Likelihood to measure,Log Formation Temperature
S VI,933.397,Medium,5.3
N III,989.787,Medium,4.9
N III,991.495,Medium,4.9
N III,991.564,Medium,4.9
Ne VI,999.182,Medium,5.6
O VI,1032.914,Medium,5.5
O VI,1037.615,Medium,5.5
Fe XIX,1118.057,Low,6.9
Ne V,1145.596,Medium,5.5
C III,1174.935,High,4.9
C III,1175.265,High,4.9
C III,1175.592,High,4.9
C III,1175.713,High,4.9
C III,1175.713,High,4.9
C III,1175.989,High,4.9
C III,1176.372,High,4.9
Si III,1206.499,High,4.8
O V],1218.39,Low,5.4
N V,1238.821,High,5.3
N V,1242.804,High,5.3
S II,1253.811,Medium,4.5
S II,1259.519,Medium,4.5
Si II,1260.417,Medium,4.5
Si II,1264.737,High,4.5
Si II,1265.001,Medium,4.5
Si III,1294.543,High,4.8
Si III,1296.726,Medium,4.8
Si III,1298.892,High,4.8
Si III,1298.944,High,4.8
Si III,1301.147,High,4.8
Si III,1303.323,High,4.8
Si II,1304.369,High,4.5
C II,1323.907,Medium,4.7
C II,1323.952,High,4.7
C II,1334.524,High,4.6
C II,1335.709,High,4.6
Fe XXI,1354.08,Low,7
O V,1371.292,Low,5.4
Si IV,1393.755,High,4.9
O IV,1399.779,Medium,5.2
O IV,1401.171,Medium,5.2
Si IV,1402.77,High,4.9
S IV,1404.818,Low,5
S IV,1406.016,Low,5
O IV,1407.383,Medium,5.2
N IV,1486.496,Low,5.2
Si II,1526.706,Medium,4.4
Si II,1533.43,Medium,4.4
C IV,1548.201,High,5
C IV,1550.772,High,5
He II,1640.42,Medium,4.9
O III,1666.142,Medium,5